vx,vy,wz
1.009784395070248086e+00,4.732361915144670667e-02,7.810188294480634452e-01
1.024071546452385739e+00,1.262568034359395908e-02,7.139299003155237244e-01
1.019535825030262854e+00,-2.814018462871091010e-03,7.951226937433429898e-01
1.042849357298317070e+00,4.775271588082698193e-03,9.014910549420954711e-01
1.054834778068345580e+00,1.612999511182195908e-02,8.589222025725450349e-01
1.082227958497443021e+00,3.815190670795709504e-02,7.766128923889789037e-01
1.084199385555975947e+00,5.653891418688308801e-02,8.159294964645446013e-01
1.072535339000104671e+00,5.348405862604282968e-02,6.304712137601593547e-01
9.586592406255149967e-01,4.183550401398350438e-02,7.829536141677900796e-01
8.429818508208291039e-01,-7.119736891606964768e-02,8.260100857395007434e-01
8.525855786927979407e-01,-8.734305761382288313e-02,7.419493378016867036e-01
1.021648600943113827e+00,-7.700477602617540607e-02,8.949728626988848745e-01
1.024496501910778123e+00,-3.401919350133360276e-02,7.269252889301922593e-01
9.963428710634804064e-01,-5.900634476787208760e-02,7.290386625779069485e-01
8.996383949385993173e-01,-1.310416118439907129e-01,7.531669876959643517e-01
8.391790438245837480e-01,-1.762477791328787013e-01,7.572102541000662601e-01
9.218078763355866956e-01,-1.234679349677716143e-01,7.237909904017919560e-01
9.052778371001528601e-01,-4.361192774402639777e-02,7.193834863107794186e-01
9.159640487972979805e-01,-6.126788330677433725e-02,7.351895549993434642e-01
1.044894474424933772e+00,-5.500334646882522327e-03,7.854326829548036182e-01
1.232566361710565772e+00,5.949493442522577752e-03,8.239116127551333602e-01
1.211327355887721557e+00,3.411141245209250820e-03,6.771042229320183292e-01
1.118482766628183134e+00,-4.116462999138378182e-02,7.550992132782871069e-01
1.051538597146881138e+00,-7.519321282948705776e-02,8.446950044008163516e-01
9.153633369842519851e-01,-1.003644681865304422e-01,8.101087219682164831e-01
9.393490348526665201e-01,4.213734189464008600e-02,8.394445536744198355e-01
1.197444117980698719e+00,1.678451648263757923e-01,7.735002115819711310e-01
1.258748728825071383e+00,2.114586238203099433e-01,8.396971140480617990e-01
1.159309997398504377e+00,1.568092293618057464e-01,7.835752434849243553e-01
1.056929586342209015e+00,-8.610249126201575953e-02,8.303544156786014652e-01
8.066979596698908850e-01,-8.842858097163802666e-02,8.248911048540115143e-01
9.382795741662989242e-01,-2.874981068285549501e-02,8.928426995707406943e-01
